participant_id	SFQ1	SFQ2	SFQ3	SFQ4	SFQ5	SFQ6	SFQ7
sub-60045900ccb68e4bdd23111e	No					0	0
sub-63150b2e1cfa995c03244696	No	0	0	Credit, debt, or loan	N/A	0	0
sub-63782709326973c77adc3db8	Yes	200	1982	Other not described	Dude met from France told me he was being threatened by gangsters in Las Vegas and I actually sent him some money.	200.00	0
sub-615de65ccc6b16aac18a20d8	No				0	0	0
sub-60fddc61782d31b27035c833	No					0	0
sub-5e3360a4499e7932901951cb	No					0	0
sub-5fa315662ca5b25d05ae8236	No					n/a	0
sub-60e5eceb989f38c746723024	No	0	n/a	Other not described	n/a	0	0
sub-5e647c63c9f0751fc59aba6f	No					na	na
sub-5d19aa93b3e6980001ea92ab	No					0	0
sub-63d96d5957cdd8a417721253	No					0	0
sub-6388fabfdce4b259e37e9495	No					0	0
sub-6110d72aa69d55efca97d465	Yes	400	6 months ago	Other not described	tried to buy concert tickets and it was fake	1000	400
sub-59b2d1e1773f41000148789e	No					0	0
sub-63effbb357025439ef9f8843	No	none		Other not described	it has never happened to me	none	none
sub-602451f15e338c12534710d0	NA	NA	NA	NA	NA	NA	NA
sub-6109dc13ff3d4be24267e74d	No					0	0
sub-5b1946322767e20001e4e23d	No					0	0
sub-5fd4ebfabf40a22bd1ffd8db	No			An impersonator (fake government, business, love interest, grandchild, etc)		None	None
sub-63614ad9841a7d16ad04512a	No					N/A	N/A
sub-636558deffacf6b4af41ae6b	No					0	0
sub-5f852dee17ab6c2136ac62e4	No					N/A	N/A
sub-5f485110eae1181f66370df8	No				0	0	0
sub-607eafaf008af56a5a3ba462	No					500	0
sub-5bca2688526bab000199550a	No					0	0
sub-6298e140ee3de09709fcb84c	Yes	800	7 years ago (2016)	Online shopping	Someone hacked my paypal account and shopped online.	800	0
sub-63617d69f2a3425296c8d89e	No					500	0
sub-5aea962d0ef2f20001858c9c	No					0	0
sub-55c4fc3dfdf99b559867a416	No					0	0
sub-5c4d5328889752000156a11d	Yes	900	1999	Other not described	A housemate asked for loans and kept inventing emergencies to justify the need. I was late in realizing he was likely using the money to purchase drugs. Subsequent conversation with other housemates solidified this interpretation, as did the unlikelihood of a string of somewhat farfetched emergencies occurring in quick succession and the fact that I was never paid back and other events.	900	0
sub-60902e88302a1bdd580019d6	Yes	$0	6 months ago	Credit, debt, or loan	Someone stole my credit card information and made two online purchases using my card.	$500	$0
sub-60fd080d5476f4a77211bafb	No					0	0
sub-63d3f9666978779139a949bb	No					20	0
sub-55c82012fdf99b02adc2a36e	No					0	0
sub-5f35f5ff98f31a23b4ff57c0	No					0	0
sub-62e1e3f92efe886934aebdc4	No					0	0
sub-611fef91a3800a9e7bfca495	No	0	0	Other not described	nothing	0	0
sub-5f68dfc4f0b95a06e45d2fad	No					None	None 
sub-5a04869ff2e3460001edad2e	No					0	0
sub-5920b1f62b529b00013f3214	No	N/A	N/A	Other not described	N/A	0	0
sub-631a68ee10ec68377cb03457	No					0	0
sub-5d46665905b29200188e52b4	No					NA	NA
sub-5df81cd72713055bdf02efd8	No					0	0
sub-632651a9f1a00140dc2b9487	No					0	0
sub-62c43f3dc521456f7320356f	NA	NA	NA	NA	NA	NA	NA
sub-628fb4c3880a08418cedd2d2	No					1000	0
sub-63ebbd7af1c80715178e5586	No					0	0
sub-5bd47734506cd3000101d181	No					0	0
sub-63652b3ed1f35f8e04325845	No					0	0
sub-5ed57ec8141d24118731f1bc	Yes	1000	2022	Credit, debt, or loan	Someone got into my bank account and bought $1000 worth of amazon products	1000	1000
sub-6286883dfdadd2d772aa2a72	No					0	0
sub-6110de9b4f5ac5a4399c7b46	No					0	0
sub-63e52a02b954da8b899fa1a7	No					50	0
sub-5e753094e8a6f10a9805ed9a	No					0	0
sub-627161ec9a2c16ab6496e364	No					0	0
sub-57e91ff08dcd2c00014bea18	No					200	0
sub-61fa94735719bc09cb834f49	No					0	0
sub-6123cd56cca46279c39b2f2e	No					0	0
sub-610820f8cc357db69daa892a	No					0	0
sub-6267ec348d99cc16e7beb7f7	Yes	500	20 years	Credit, debt, or loan	my credit card number was used at several locations , but the fraud was flagged and I wasn't charged	0	0
sub-59c86f966a287600011c393e	Yes	0	1991	Credit, debt, or loan	Someone used my credit card information from a transaction to generate a bogus charge for themselves.  I contacted my credit card company and got the charge reversed.  The charge was probably for about $100, though I don't remember exactly now.	0	0
sub-5f8ac3760d1aa703601582ef	No					0	0
sub-5c872cded9fe700001024123	No	0	Never	Other not described	Nothing.	0	0
sub-5dd35813794e103649612ffd	No					0	0
sub-5dd4189ef30aa640b4e9c094	No					0	0
sub-63d7cb9668d2a544866a37a8	No					0	0
sub-62a33f5217536a32157d874e	No					0	0
sub-5b98d9362cca9c0001de161f	No					0	0
sub-63bb0d793cee514d16b866ef	No					0	0
sub-5f706a963b6ac2627a4bb3b5	NA	NA	NA	NA	NA	NA	NA
sub-64467092479723cb7906e371	No					0	0
sub-6346c80dad82da684ce0a3df	No					0	0
sub-5ac50d5ea3ba7a0001b4a4be	No	0	NA	Other not described	I haven't been a victim.	0	0
sub-60fce319094706567dd18681	No					0	0
sub-5f09f9a38bf3690ea1c20c96	No					0	0
sub-569916e4b0e16500050131b4	No					0	0
sub-5ecff126aa853e08a8f95e5b	No					0	0
sub-5db9e7ae0b530c03b47f6398	No					0	0
sub-631634c04e43861585e07b87	No					0	0
sub-5f63aebda80cfc0db6982f74	No					0	0
sub-5fe0d610dd8cf1a331961cbe	No					0	0
sub-5c8198fcf29fd90001a2b9c9	No	N/A	N/A		N/A	N/A	0
sub-5c5cd939a1ff0d0001176b6e	NA	NA	NA	NA	NA	NA	NA
sub-62fbc9730a4b70bcc1c942b3	Yes	3000	2022	An impersonator (fake government, business, love interest, grandchild, etc)	Someone pretended to be paypal	3000 	3000
sub-5edbd29596e90d077aa16303	No					0	0
sub-616da069522e6b8aa420a603	Yes	3,000	2017	Auto sale or repair	scammed out of money buying a car online, the person claimed to be selling a vehicle because they were being deployed. 	3000	0
sub-6413657d35d13ae4a6c8a26f	No	0	0	Phone, internet, TV service	none	none	none
sub-5e4aff604677340127c8514d	No					0	0
sub-5e19b2a5f495b423d71e00f5	No					1000	0
sub-608c75be6bf5ca1f23ab35ad	No					None	None
sub-5cd34d42fe890a00174debb5	No	n/a	n/a		n/a	n/a	n/a
sub-60f6ce6de6cf393bcde0c14d	No					0	0
sub-63e3210e520942163bbbd6d5	No			Other not described		0	0
sub-5cd1a619240bc80013310b4e	Yes	3500	one year ago	Credit, debt, or loan	Someone opened account in my name and I had to pay it off.	3500	3500
sub-62827896d034545333f4610c	No					0	0
sub-63eac31811a6da58d4f32d76	No					0	0
sub-63ff82a863b38f195a2f9ac9	No					n/a	n/a
sub-63d2797ee24c80630f3b67e1	No					0	0
sub-63ed508fde849af6ba4b96e5	Yes	50	2018	Credit, debt, or loan	card got hacked and used for a while	8000	8000
sub-63a4a1d16970d438c0314bd9	No					none	none
sub-54d2c4e2fdf99b2c319a8cf6	No					0	0
sub-611688156f6d22853511ffb3	No					0	0
sub-614a2938ccbb6e48eb2dcbd1	Yes	200	2011	Other not described	2 people collecting money for some kind of publishing house charity.	200	0
sub-5b0d1b8e444cef0001ca66ac	NA	NA	NA	NA	NA	NA	NA
sub-60c52df5ae57d6d7918e76f0	No					0	0
sub-5b68d45687af3100015849a9	No					0	0
sub-5e2f4ab6fb987e078bf5f68e	Yes	25.00	18 years ago	Sweepstakes, prize, lottery	I had to buy a 25.00 gift card and give them the number so they could mail me a check for my winnings.	maybe $100.00	0.00
sub-595d516e2da9c90001d7d200	No					0	0
sub-62f41a3f40490ce7273873ec	No					0	0
sub-54a7516dfdf99b7cd759d22b	Yes	 100	approximatley 4 years ago	Online shopping	i went to buy fabric online. the website existed but they did not speak english. i ended up getting the money back from paypal. 	0	0
sub-5b72db405f561b0001342eff	No					None	None
sub-5e74406c8c8f273bafab9895	No			Other not described		0	0
sub-5de7d12c26dd95000b6824c5	No					0	0
sub-5ddaa1e583e309a04100bd57	No					0	0
sub-5e987098f1bb6707dca13f5b	No	NA	NA		NA	0	0
sub-5c7e764fa7432a00169e1499	No					0	0
sub-5f1fec6a43c2810190bb090c	No					0	0
sub-6159d4026fd4e22c9f1179c1	No					0	0
sub-63b82398bbe6a599972413ad	No					0	0
sub-558a035bfdf99b2d75651378	No	0	Never	Other not described	no event	0	0
sub-6272aedf6abac2a395291522	Yes	50	1995	An impersonator (fake government, business, love interest, grandchild, etc)	Someone was selling fake magazine subscriptions.	50	0
sub-5dd00a19b51b3e103a6f50c8	No					0	0
sub-5fea025ffeba314a5f1fbda8	No					0	0
sub-6108c7b7c66ae59abfe3a96d	No					0	0
sub-645bf81e7162b9ec4cb8aaf6	No					0	0
sub-5b6cd50f9ee1a50001c5f481	No				N/A	0	0
sub-5cdf2adac194e800187ad97a	NA	NA	NA	NA	NA	NA	NA
sub-63f2e107c4d0bc684b99d2c6	No			Other not described	none	0	0
sub-58211fc787f6b90001f13f90	No					0	0
sub-5a585be8e0cf3d00012657b8	No					0	0
sub-58e76dbe3b2e1800012be43a	No	N/A	N/A		N/A	0	0
sub-6076b4987983e978f6a2753f	No			Other not described	n/a	n/a	n/a
sub-5efe4033859ac314b6d79a50	No					0	0
sub-6402618738abc106f32f8928	No					None	None
